Data da Leitura;Vazio;Ponta;Cheias
2025-10-24 00:00:00;18322;3011;7600
2025-10-23 00:00:00;18320;3010;7597
2025-10-22 00:00:00;18311;3008;7594
2025-10-21 00:00:00;18306;3007;7592
2025-10-20 00:00:00;18300;3006;7587
2025-10-19 00:00:00;18289;3005;7585
2025-10-18 00:00:00;18277;3003;7582
2025-10-17 00:00:00;18271;3002;7579
2025-10-16 00:00:00;18270;3001;7576
2025-10-15 00:00:00;18264;3000;7573
2025-10-14 00:00:00;18258;2999;7569
2025-10-13 00:00:00;18249;2998;7567
2025-10-12 00:00:00;18237;2996;7564
2025-10-11 00:00:00;18232;2995;7561
2025-10-10 00:00:00;18227;2994;7558
2025-10-09 00:00:00;18226;2993;7555
2025-10-08 00:00:00;18219;2992;7551
2025-10-07 00:00:00;18214;2991;7549
2025-10-06 00:00:00;18206;2990;7546
2025-10-05 00:00:00;18201;2989;7544
2025-10-04 00:00:00;18194;2988;7541
2025-10-03 00:00:00;18187;2987;7538
2025-10-02 00:00:00;18183;2986;7535
2025-10-01 00:00:00;18177;2985;7532
2025-09-30 00:00:00;18171;2983;7529
2025-09-29 00:00:00;18166;2981;7526
2025-09-28 00:00:00;18164;2980;7523
2025-09-27 00:00:00;18159;2979;7520
2025-09-26 00:00:00;18154;2978;7516
2025-09-25 00:00:00;18152;2976;7513
2025-09-24 00:00:00;18144;2975;7510
2025-09-23 00:00:00;18138;2973;7508
2025-09-22 00:00:00;18128;2972;7505
2025-09-21 00:00:00;18119;2971;7502
2025-09-20 00:00:00;18112;2970;7500
2025-09-19 00:00:00;18101;2968;7496
2025-09-18 00:00:00;18095;2967;7493
2025-09-17 00:00:00;18088;2965;7490
2025-09-16 00:00:00;18078;2964;7488
2025-09-15 00:00:00;18072;2963;7485
2025-09-14 00:00:00;18066;2962;7482
2025-09-13 00:00:00;18056;2961;7479
2025-09-12 00:00:00;18050;2960;7476
2025-09-11 00:00:00;18043;2958;7473
2025-09-10 00:00:00;18033;2957;7471
2025-09-09 00:00:00;18026;2955;7467
2025-09-08 00:00:00;18020;2953;7463
2025-09-07 00:00:00;18012;2951;7458
2025-09-06 00:00:00;18003;2950;7456
2025-09-05 00:00:00;18000;2949;7453
2025-09-04 00:00:00;17990;2948;7449
