Date;Temperature_Max_C;Temperature_Min_C;Humidity_Mean_%;Precipitation_mm;UV_Index_Max
2022-01-01;14.3;4.8;78;0;0.8
2022-01-02;17.8;6.5;84;8.8;0
2022-01-03;14.5;4.9;87;8.0;0
2022-01-04;18.2;6.8;76;0;0.5
2022-01-05;15.2;5.3;80;0;1.0
2022-01-06;14.8;5.1;77;0;0.7
2022-01-07;16.9;6.2;90;2.6;1.2
2022-01-08;14.9;5.2;87;0;0.7
2022-01-09;12.9;4.2;90;0;0.8
2022-01-10;16.3;6.0;78;20.9;0.8
2022-01-11;17.4;6.6;88;0;0
2022-01-12;17.9;6.8;80;22.2;0
2022-01-13;15.9;5.9;82;0;0
2022-01-14;15.8;5.9;75;0;1.4
2022-01-15;15.5;5.8;77;8.4;0.3
2022-01-16;13.9;5.0;89;9.1;0.4
2022-01-17;18.1;7.1;84;3.9;0
2022-01-18;18.0;7.1;80;0;0
2022-01-19;18.5;7.4;80;11.3;0.2
2022-01-20;18.5;7.5;75;19.5;0.4
2022-01-21;18.2;7.4;74;17.8;0.6
2022-01-22;14.7;5.6;78;0;0.1
2022-01-23;19.5;8.1;77;4.7;0.4
2022-01-24;17.4;7.1;80;4.2;1.3
2022-01-25;14.3;5.6;86;0;1.1
2022-01-26;16.2;6.6;78;0;2.0
2022-01-27;15.1;6.1;73;0;0.4
2022-01-28;17.4;7.3;74;18.2;0.8
2022-01-29;16.4;6.9;74;21.4;1.7
2022-01-30;17.9;7.7;87;3.3;1.2
2022-01-31;16.2;6.9;90;0;1.5
2022-02-01;16.2;6.9;74;3.7;1.0
2022-02-02;15.0;6.4;80;0;1.5
2022-02-03;16.5;7.2;85;0;1.9
2022-02-04;19.8;8.9;74;0;1.9
2022-02-05;19.9;9.0;71;0;1.0
2022-02-06;15.4;6.8;81;0;2.2
2022-02-07;17.3;7.9;76;15.7;1.4
2022-02-08;19.8;9.2;72;23.0;2.4
2022-02-09;19.2;8.9;85;13.2;1.6
2022-02-10;21.5;10.1;72;0;2.8
2022-02-11;17.7;8.3;74;0;2.5
2022-02-12;18.4;8.7;69;12.2;1.9
2022-02-13;17.5;8.3;81;0;1.3
2022-02-14;16.8;8.1;70;16.9;2.8
2022-02-15;21.5;10.5;79;0;1.4
2022-02-16;18.0;8.8;76;0;2.6
2022-02-17;17.0;8.4;87;0;3.1
2022-02-18;17.5;8.7;78;14.1;2.0
2022-02-19;18.6;9.3;82;0;2.2
2022-02-20;21.4;10.8;78;16.2;1.9
2022-02-21;18.9;9.6;86;0;3.5
2022-02-22;19.0;9.8;71;0;2.3
2022-02-23;18.3;9.5;74;0;2.8
2022-02-24;22.5;11.7;86;8.4;3.4
2022-02-25;18.1;9.5;82;0;2.8
2022-02-26;21.9;11.5;68;0;3.5
2022-02-27;20.6;11.0;81;10.1;3.0
2022-02-28;24.2;12.8;71;0;3.8
2022-03-01;23.5;12.6;66;11.8;3.4
2022-03-02;21.6;11.7;70;0;4.0
2022-03-03;21.7;11.8;76;24.1;4.1
2022-03-04;21.3;11.7;71;0;3.3
2022-03-05;21.5;11.9;72;0;3.4
2022-03-06;25.3;13.9;69;0;3.6
2022-03-07;25.5;14.1;83;0;4.5
2022-03-08;20.8;11.8;70;8.4;4.0
2022-03-09;22.0;12.5;81;23.2;3.6
2022-03-10;23.4;13.2;82;0;3.3
2022-03-11;24.1;13.7;63;0;3.5
2022-03-12;23.6;13.6;73;24.0;4.8
2022-03-13;26.6;15.1;64;20.1;5.2
2022-03-14;22.6;13.2;73;0;5.3
2022-03-15;25.3;14.7;76;0;3.6
2022-03-16;23.3;13.7;81;0;4.8
2022-03-17;23.4;13.9;68;7.3;4.2
2022-03-18;25.4;14.9;69;17.3;5.7
2022-03-19;26.7;15.7;65;0;4.7
2022-03-20;23.3;14.1;61;0;5.7
2022-03-21;24.7;14.8;77;0;5.4
2022-03-22;22.2;13.7;78;0;4.8
2022-03-23;26.1;15.7;63;0;4.9
2022-03-24;26.4;16.0;60;0;6.1
2022-03-25;23.1;14.4;69;0;5.9
2022-03-26;23.5;14.7;66;21.4;6.1
2022-03-27;25.6;15.8;60;0;6.0
2022-03-28;26.0;16.1;64;0;5.3
2022-03-29;25.7;16.0;58;22.4;5.0
2022-03-30;26.2;16.4;65;0;5.5
2022-03-31;26.3;16.5;65;0;5.4
2022-04-01;27.4;17.2;58;0;5.9
2022-04-02;26.6;16.8;58;0;5.7
2022-04-03;26.5;16.8;57;0;6.2
2022-04-04;27.4;17.4;73;0;7.1
2022-04-05;27.8;17.7;58;2.4;6.5
2022-04-06;25.8;16.8;71;0;6.0
2022-04-07;27.5;17.7;70;0;7.1
2022-04-08;30.7;19.4;71;0;6.4
2022-04-09;28.5;18.4;68;0;6.0
2022-04-10;31.0;19.7;60;12.7;7.4
2022-04-11;26.7;17.6;62;4.1;7.3
2022-04-12;28.8;18.7;71;0;7.4
2022-04-13;31.2;20.0;60;0;7.3
2022-04-14;31.3;20.2;69;0;6.3
2022-04-15;31.0;20.1;57;0;6.6
2022-04-16;28.5;18.9;56;0;6.7
2022-04-17;31.9;20.7;61;11.8;7.4
2022-04-18;30.5;20.1;55;0;6.5
2022-04-19;30.7;20.2;64;0;6.9
2022-04-20;27.7;18.8;69;0;8.3
2022-04-21;31.5;20.8;52;0;7.1
2022-04-22;29.7;20.0;52;0;6.6
2022-04-23;30.4;20.4;55;6.4;8.4
2022-04-24;32.7;21.6;52;0;7.6
2022-04-25;29.2;20.0;70;0;8.2
2022-04-26;28.1;19.5;68;0;6.9
2022-04-27;30.9;20.9;61;0;7.6
2022-04-28;28.6;19.9;57;0;9.0
2022-04-29;28.3;19.8;59;0;7.8
2022-04-30;29.8;20.6;63;10.1;7.5
2022-05-01;32.5;22.0;66;0.9;7.9
2022-05-02;33.6;22.6;66;0;9.1
2022-05-03;33.3;22.5;51;0;8.2
2022-05-04;33.7;22.8;52;0;8.4
2022-05-05;32.5;22.2;58;9.7;9.4
2022-05-06;32.2;22.2;68;0;9.5
2022-05-07;32.7;22.5;58;0;8.1
2022-05-08;30.2;21.3;49;0;9.0
2022-05-09;34.8;23.6;66;0;9.0
2022-05-10;34.4;23.5;62;10.9;8.4
2022-05-11;32.0;22.3;65;14.9;9.7
2022-05-12;30.8;21.8;55;0;9.0
2022-05-13;32.9;22.9;62;0;8.8
2022-05-14;34.1;23.5;63;11.3;8.5
2022-05-15;30.5;21.8;50;6.3;9.9
2022-05-16;34.4;23.8;58;0;9.2
2022-05-17;32.2;22.7;67;0.6;9.0
2022-05-18;33.7;23.5;65;9.8;9.6
2022-05-19;32.1;22.8;60;7.5;9.3
2022-05-20;34.5;24.0;54;4.2;10.3
2022-05-21;31.6;22.7;57;0;10.3
2022-05-22;34.1;23.9;60;6.3;10.2
2022-05-23;35.0;24.4;66;0;9.1
2022-05-24;34.7;24.3;58;0;10.3
2022-05-25;36.7;25.3;64;0;8.9
